pathway_description	pvalue	hub_gene	comparison
KEGG_N_GLYCAN_BIOSYNTHESIS	0.001996007984031936	GANAB	cluster1_vs_cluster2
KEGG_OTHER_GLYCAN_DEGRADATION	0.001996007984031936	MAN2B1	cluster1_vs_cluster2
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	0.001996007984031936	CHST2	cluster1_vs_cluster2
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.001996007984031936	PIGU	cluster1_vs_cluster2
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.001996007984031936	PLA2G15	cluster1_vs_cluster2
KEGG_ETHER_LIPID_METABOLISM	0.001996007984031936	PLA2G7	cluster1_vs_cluster2
KEGG_ARACHIDONIC_ACID_METABOLISM	0.001996007984031936	TBXAS1	cluster1_vs_cluster2
KEGG_RIBOFLAVIN_METABOLISM	0.001996007984031936	ACP1	cluster1_vs_cluster2
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	0.001996007984031936	BST1	cluster1_vs_cluster2
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.001996007984031936	YARS2	cluster1_vs_cluster2
KEGG_BASAL_TRANSCRIPTION_FACTORS	0.001996007984031936	TAF11	cluster1_vs_cluster2
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0.001996007984031936	BNIP1	cluster1_vs_cluster2
KEGG_LYSOSOME	0.001996007984031936	CTSA	cluster1_vs_cluster2
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.001996007984031936	COX5A	cluster1_vs_cluster2
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.001996007984031936	AQP1	cluster1_vs_cluster2
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	0.001996007984031936	ACTB	cluster1_vs_cluster2
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.001996007984031936	HLA-DMA	cluster1_vs_cluster2
KEGG_PRIMARY_IMMUNODEFICIENCY	0.001996007984031936	CIITA	cluster1_vs_cluster2
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.001996007984031936	PGAM1	cluster1_vs_cluster2
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.001996007984031936	SUCLG1	cluster1_vs_cluster2
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.001996007984031936	TALDO1	cluster1_vs_cluster2
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.001996007984031936	PMM1	cluster1_vs_cluster2
KEGG_GALACTOSE_METABOLISM	0.001996007984031936	B4GALT2	cluster1_vs_cluster2
KEGG_FATTY_ACID_METABOLISM	0.001996007984031936	CPT2	cluster1_vs_cluster2
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0.001996007984031936	CYP27A1	cluster1_vs_cluster2
KEGG_STEROID_HORMONE_BIOSYNTHESIS	0.001996007984031936	AKR1C3	cluster1_vs_cluster2
KEGG_OXIDATIVE_PHOSPHORYLATION	0.001996007984031936	NDUFA2	cluster1_vs_cluster2
KEGG_PURINE_METABOLISM	0.001996007984031936	POLR1B	cluster1_vs_cluster2
KEGG_PYRIMIDINE_METABOLISM	0.001996007984031936	CTPS1	cluster1_vs_cluster2
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.001996007984031936	ACY3	cluster1_vs_cluster2
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	0.001996007984031936	CBS	cluster1_vs_cluster2
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.001996007984031936	TRDMT1	cluster1_vs_cluster2
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.001996007984031936	MCCC2	cluster1_vs_cluster2
KEGG_LYSINE_DEGRADATION	0.001996007984031936	DLST	cluster1_vs_cluster2
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.001996007984031936	GAMT	cluster1_vs_cluster2
KEGG_HISTIDINE_METABOLISM	0.001996007984031936	ACY3	cluster1_vs_cluster2
KEGG_PHENYLALANINE_METABOLISM	0.001996007984031936	GOT2	cluster1_vs_cluster2
KEGG_TRYPTOPHAN_METABOLISM	0.001996007984031936	HADHA	cluster1_vs_cluster2
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.001996007984031936	GGT7	cluster1_vs_cluster2
KEGG_SELENOAMINO_ACID_METABOLISM	0.001996007984031936	HEMK1	cluster1_vs_cluster2
KEGG_GLUTATHIONE_METABOLISM	0.001996007984031936	PGD	cluster1_vs_cluster2
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.001996007984031936	NAGK	cluster1_vs_cluster2
KEGG_PYRUVATE_METABOLISM	0.001996007984031936	ME2	cluster1_vs_cluster2
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.001996007984031936	PGP	cluster1_vs_cluster2
KEGG_BUTANOATE_METABOLISM	0.001996007984031936	PDHB	cluster1_vs_cluster2
KEGG_FOLATE_BIOSYNTHESIS	0.001996007984031936	DHFR	cluster1_vs_cluster2
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	0.001996007984031936	HMOX2	cluster1_vs_cluster2
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	0.001996007984031936	ACAT2	cluster1_vs_cluster2
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.001996007984031936	AKR1C3	cluster1_vs_cluster2
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.001996007984031936	GSTK1	cluster1_vs_cluster2
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	0.001996007984031936	ITPA	cluster1_vs_cluster2
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.001996007984031936	HSD17B12	cluster1_vs_cluster2
