pathway_description	BS_8T7DZV2F	BS_BA6AZWB3	BS_AM70R8RG	BS_AMZ70B6F	BS_BPWEFR89	BS_BVSW4GTG	BS_8GW1TMV2	BS_3V3KE3VT	BS_3F5PR9GS	BS_81SP2HX4	BS_7C40TRCY	BS_7XQRH69M	BS_VT6C6N6K	BS_VPBMDMQX	BS_WH5HDE0A	BS_TW8DQH8J	BS_M15PW2N0	BS_J1AB8PMA	BS_RD4D5F9F	BS_R6WNEEE4	BS_RCC8BXVE
KEGG_ABC_TRANSPORTERS	0.01882210490411623	0.002228652717278863	-0.05690838962723834	-0.06155410893952925	-0.02770372116174683	-0.05465520901228356	-0.016908146273167456	-0.08227942989460431	-0.04539753552406975	-0.06696179357784829	-0.05016518184764614	-0.01374594138300924	-0.04977170129079287	-0.0187896394907275	-0.055625107336806694	-0.02261535412154583	-0.04554934975776709	0.0029253686768636643	-0.06110743630004407	-0.016565247939916136	-0.020127703008911663
KEGG_ACUTE_MYELOID_LEUKEMIA	0.24865973309123054	0.2261236238447758	0.19100037203779188	0.21448185709018583	0.22797865604050105	0.21466292572506002	0.2135245929730098	0.21071714866669022	0.18790018503860423	0.19539214181211756	0.20829457948664257	0.21229639457733038	0.21778777481715988	0.2047698730091699	0.18880324174571542	0.18810470900096254	0.20970337630640307	0.21938561309934743	0.21349694702376018	0.2102951609941001	0.20019887349985677
KEGG_ADHERENS_JUNCTION	0.2919109938203034	0.26703209839160913	0.22664937275989763	0.2465784407459111	0.24797517537960975	0.25966013013402284	0.22581624085652208	0.2739732380753481	0.25109853127122883	0.2503025822718134	0.2648785564192537	0.24790314768368968	0.25132816141907843	0.22232519310951054	0.23175700706394828	0.25178646580443387	0.242543635174846	0.2712728080808994	0.2519656062748581	0.25896363624881275	0.21107663317159606
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.1276853002843641	0.13306293563415758	0.08578156622308834	0.10449323398904282	0.11652926629890234	0.10032996744550762	0.10736983801405374	0.08408531208368142	0.09628387685146547	0.10451282048486299	0.1057286821703919	0.09797042498494354	0.09799466306096964	0.11377976505365991	0.10490374924739314	0.09630387408825176	0.11536482229882256	0.11075388852842136	0.10861859299575692	0.10129612610487058	0.11390588384917455
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.08135391391931263	0.10010483325754481	0.07814057653427431	0.055099071041796135	0.07540846880141175	0.053184325234025644	0.088262979554615	0.10962400556031655	0.0637383334897243	0.05365187855505271	0.04969159623095685	0.04617096873537665	0.0739432384342675	0.0401009390525596	0.07086309981396903	0.09311570573550572	0.030570470718160003	0.10869807575944213	0.04337755199200842	0.09491015382978052	0.09847588853920192
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.06594127808752809	0.1750054858314373	0.09373013588170526	0.10238993504057656	0.1326799518033376	0.11220527532668569	0.08921390301228752	0.04259997834573254	0.06854620477988119	0.11647461944300147	0.10131434952043358	0.10493001142828422	0.07572994179280187	0.12530202918577132	0.11539959667046742	0.05056422641260846	0.12428777279320853	0.0953333645392106	0.12854542643060865	0.09561913079626821	0.1542935259211373
KEGG_ALLOGRAFT_REJECTION	0.12787206902430182	0.001821435321657502	-0.12427093157474747	0.008441266447484469	-0.039760599882560706	-0.04599433401326606	0.06769225948438408	-0.07999011949632191	-0.10905436031776643	-0.031178235772778996	0.04911471584187453	-0.03980179479099145	0.030626949882714114	-0.002270485903303415	-0.14710093636106117	0.05518927498029939	-0.01828543138730666	0.07944029138900875	0.007940798379545786	-0.0037105155504580218	-0.03897712520284758
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.09282458168874869	-0.10282120540352768	-0.12668899378581203	-0.12848485215851446	-0.11143126444472068	-0.11257389463813447	-0.1043442919812276	-0.1489264082217896	-0.13331337051205125	-0.1324068744730085	-0.14163749207888413	-0.12242577428391688	-0.1297076220724929	-0.08207059830567363	-0.12731134938816008	-0.10022972508070067	-0.08813572375933705	-0.11611282874017899	-0.11014840777262655	-0.10679121133314057	-0.11852288438656648
KEGG_ALZHEIMERS_DISEASE	0.31038482489158864	0.3139009397471228	0.2969952273155169	0.30989273121688654	0.3015619938052848	0.3023830718191969	0.2967450390500296	0.27150168651119827	0.29014395772452195	0.30842883752119465	0.302503684181034	0.30367941589493014	0.30638954913610605	0.2980789968378489	0.31688891599406516	0.29389213098413486	0.2943325270416476	0.29889264886912836	0.3074155363711329	0.3074865156347758	0.3303786573992245
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.22505973622448025	0.142929173423404	0.12348930184185224	0.14862024976841862	0.14274750692491353	0.15443172261945445	0.18673780602107357	0.14092604712804574	0.1360266248512512	0.1506599637893898	0.14060764195874192	0.15086930333495965	0.16833701273184484	0.1448772716931764	0.15620504744656152	0.16716780480283613	0.15663864237464675	0.19079264023531536	0.16092154621220672	0.17375079637406568	0.13900787743449916
