pathway_description	BS_30VC3R2Q	BS_BMMY0H73	BS_D7XRFE0R	BS_0VXZCRJS	BS_6WP1FHTE	BS_4QW2S1Q8	BS_51RA1PGE	BS_49CJNZ06	BS_4B0BAVTX	BS_VF5XWFXD	BS_X4DD4KSZ	BS_T3DGY9J9	BS_TM9MH0RP	BS_4C6B11E4	BS_2HNXVFAS	BS_TR2P8KRF	BS_PJC6FH4Y	BS_VKYEM67A	BS_XZM79E42	BS_RXN5T5YT	BS_RX1YTZ7F	BS_NR3P3GN2	BS_MWWZBQ60	BS_C41DJZ1F	BS_FN07P04C	BS_FYRDYBMZ	BS_2EN3X6HB	BS_84XCR9GG	BS_4PWDGEB0	BS_SNVM7CZT	BS_SD8YBRBR	BS_Z8F3GM85	BS_KBEX4RT2	BS_HWGWYCY7	BS_R5SNFB5B	BS_PXCPK5XS	BS_PS0P3QJ3	BS_BYCX6VK1	BS_9XVACXP0	BS_GG9W3J9Y	BS_29X4ZX6Q	BS_399RPKC9	BS_0C7VZC0A	BS_7327SDAQ	BS_52C576HH	BS_W9N9844Q	BS_X0XXN9BK	BS_9TXEDSWB	BS_YA0KMBRT	BS_ECNBQ2RA	BS_H9JYKFTV	BS_Z8YZ6QGS	BS_KP735TJ6	BS_K17VQECG
KEGG_ABC_TRANSPORTERS	0.03257820905736257	0.006564736861043396	0.058264502344347546	-3.6645090891056356e-4	-0.004647414420549448	0.008871662569107803	0.06389447998761896	-0.03808840218936479	0.06932857948543579	0.0414080085893447	0.00784158517865324	0.010858329949669867	0.0213647218342062	0.0868423008166209	0.09152384786647867	0.04259011602132698	0.06305116888491549	0.10240348122292942	0.016772369749313013	0.03821323833603864	0.022063408397986525	0.025301682710090853	-0.001377611887133654	0.04010552914985789	0.03777296593104867	0.041837438668890344	0.04201777242908265	-0.018650392609731222	0.02661544157150662	0.014478433226420154	0.049875545803065705	0.04879526774203679	0.009540294461523354	0.05631851559044001	-0.026897983142698634	0.0033059706479482993	0.04066881375653372	0.02541819426998977	0.029887193881711956	0.01950961412974834	0.08065083174833357	0.04396743340762789	0.03719404137135211	0.03480806370700753	0.059468556280604996	0.008910319221440284	0.04250217203915082	0.07287780259907684	0.05684656021530078	0.06261185396168324	0.07449996491686943	0.04142511972329439	0.05386008276705185	0.052908582371791746
KEGG_ACUTE_MYELOID_LEUKEMIA	0.27839571671314106	0.24872997825305862	0.2832111297144323	0.2509198980956753	0.28542539228292135	0.27339751414199776	0.2563746576720179	0.2625602179601057	0.26719178723031867	0.28722256921044237	0.28307328947739946	0.2659016585301277	0.2807299760739716	0.3070142868701114	0.26024612660865143	0.24534217655509144	0.30251194356124395	0.31458949967632366	0.2797923272188823	0.2918386268044687	0.2564693206058195	0.2844578123150225	0.2737435165904528	0.26253516995129617	0.24126131263725883	0.2653798775372891	0.23599516691940967	0.2652334943297874	0.23142272963865237	0.24525364403461256	0.2388468423618207	0.29990979990677313	0.2659760967262381	0.25072175495913557	0.26491445030383626	0.24818290201244733	0.22609584334087468	0.25700660746294085	0.2597895251459864	0.25272417117440354	0.24471673934434116	0.29238674088265443	0.28403491152834853	0.2642019177736367	0.25211209460026857	0.2746528273674413	0.24241872097645448	0.2945337604343535	0.2641616548530619	0.25515105031750285	0.25049099445934614	0.27438646070234	0.2683667328535846	0.2796432603895613
KEGG_ADHERENS_JUNCTION	0.3407444663313099	0.320818132199483	0.3506777808368994	0.312791792316677	0.34335320939368064	0.33630555744170926	0.33351706307292006	0.31092054531567775	0.34788283589463637	0.3426590093618138	0.3159097973387338	0.3232660480009769	0.33583335166728207	0.333514740166544	0.34943225318346904	0.340729472724165	0.33891447078591036	0.34453495337010753	0.30704070108752274	0.3472826697452224	0.31509115204131183	0.3564265758642912	0.34535506364798474	0.3277387887195303	0.31949392694001083	0.31711452410720353	0.3173963551842984	0.30757048311250945	0.3081733026471463	0.31442432025826683	0.31198146830564755	0.3368703514722147	0.33826519848005354	0.2940155434391276	0.31935277285288904	0.30621548672133464	0.2945728494789774	0.3288196427688421	0.30420858032651427	0.3157558816463521	0.33332937929526324	0.3532373585343747	0.3283298287392472	0.34916450908769875	0.3180383285895617	0.33466414069015804	0.2838922844957655	0.32586484210440586	0.32402807837653214	0.32466378522986605	0.33877852959947874	0.31651767780026374	0.32844263306950455	0.3452681105514836
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.1678747539955728	0.1577200026326966	0.15847469680025664	0.14677088265144372	0.15063302711748064	0.1503546805708219	0.16138822832893557	0.1770057688060054	0.18876100678168567	0.15437063440879542	0.1787505778066388	0.16965588976924253	0.17142745362937037	0.1868955696883371	0.14986451697419448	0.14322906727691936	0.19286993263082694	0.19504699284287957	0.17320350183084007	0.16210743304447514	0.14857950029755698	0.1479420887812316	0.16348089957977108	0.14339514177838755	0.15917872327286167	0.17700934403738208	0.15680322611995348	0.15409873409335265	0.16043625400214465	0.15147871643353245	0.1431939885084963	0.15815164937666676	0.1637486391612619	0.17603219801034714	0.1490888386408576	0.14388657597101429	0.13937558339539466	0.16105981495777416	0.14692310357597743	0.1573891464908956	0.15021880317848052	0.1813677341561212	0.18451992028109154	0.1444192992222038	0.1309849329550757	0.15388042088230594	0.15751723145533875	0.1952540341948491	0.16370577121934368	0.19176451328994548	0.17290293577886257	0.15328129958274206	0.1833984728680277	0.14160170443032385
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.08900177763798581	0.14191167993690817	0.12211596122950141	0.09628828160166875	0.11867309178593483	0.09565504732207163	0.12224452263803788	0.11868610995926637	0.10481372157604528	0.13760642718820307	0.09396409011283727	0.13816765495589053	0.13344193175944255	0.08238939405949898	0.09132372230464694	0.12273005077929405	0.09106158835294496	0.08653843608318883	0.11633575514342341	0.13312840022834177	0.13163951911612704	0.0929180006105767	0.12767342643786697	0.10548574394701489	0.09939375286844689	0.11223014027686995	0.1337629176001283	0.09681037672341357	0.12162615337580264	0.14486963480699447	0.10686376366695456	0.10237477896008995	0.10701991026117703	0.12386363612856816	0.12320004612448567	0.09427122158370858	0.10735794359562839	0.11930803783860157	0.08156704562746359	0.14274799360331222	0.11424312779449854	0.1286526849576676	0.10753011746210296	0.10720558794744577	0.06696187194091167	0.11304825057096539	0.11415462212733198	0.12914120476061416	0.10330279401660514	0.13052908472144645	0.1276446295390908	0.10680824422151798	0.11971781511762336	0.09444227306052559
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.16638483069581606	0.14662167477702157	0.15009483579015404	0.1305915424678283	0.1818245676738308	0.1757856913627554	0.15951854966828322	0.14317465834919077	0.17537931764314496	0.16134600747761502	0.15467015045715457	0.15206984750090197	0.16939886008851998	0.17822797717188296	0.1515872284614041	0.1657177902295096	0.18272607582071088	0.19581439466740133	0.14547500767037225	0.17042436675221864	0.1643130340970504	0.2060511746115079	0.18491996186186227	0.16060473616144863	0.155978226285286	0.15383911435377529	0.13861399401416835	0.16516371884792538	0.1388078065155277	0.14744186255552563	0.07659818138978511	0.17128973890174448	0.1535807175118027	0.13995758942793024	0.08889681907634608	0.12918390538557598	0.11944378485661745	0.12578111933426922	0.13936608024884922	0.1698343850738543	0.10843951619993263	0.16677134228921553	0.15278061769066278	0.16473136934562188	0.13789731524873688	0.1606130340710857	0.1008127803435142	0.21414438801901628	0.1348165539239734	0.16493762213101895	0.14995115252312916	0.18266428834954043	0.15682155413160337	0.16658697598190728
KEGG_ALLOGRAFT_REJECTION	-0.025062505310702556	0.035353070129767954	0.07198144111095936	0.05228754267000606	0.11346555868943499	0.04993814162809011	0.08355120159356554	-0.07381694351254083	0.05105820149760374	0.04490100035642645	0.12138895378646876	0.09266827986945209	0.05298282229779405	0.017418818369844404	0.014740422873220433	0.019835232009620327	0.1235792465391842	0.10935003945560899	0.14601416780529108	0.09119296122369074	0.07064481819462515	0.064750729675555	0.08476909694647554	0.03377717031855474	-0.1087832904493766	0.0044569541766602975	0.0858065868466323	-0.0160327544778855	-0.008130195842287385	0.10064309825533063	-0.12601923190682324	0.09093817405972296	-0.02859089146100311	0.13619923371260056	-0.12914037271595802	-0.010824598716142702	-0.03257812556554063	0.11548593397686249	-0.08574679835680374	-0.0399034589000916	-0.06618889865182613	-0.03326112377818466	0.043010075338488905	0.02406057710450557	0.02398996176325365	0.06747207429921194	0.10516615365024037	-0.009838784047204186	-0.06512809838533982	0.12136422867766322	-0.041922760882888405	0.089426044577309	-0.10369640667217088	0.11073755454548168
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.0960833343784857	-0.09145926365527655	-0.04450991191846682	-0.05613415767876991	-0.09616967003059702	-0.14157312536506542	-0.07033023408112736	-0.13950627776186528	-0.08275488644322884	-0.06541905936925681	-0.12043623909840949	-0.011714260518564728	-0.08602998089582369	-0.11660214829958887	-0.11418984274972052	-0.11261924030875387	-0.1120365362138279	-0.11974383201374154	-0.010738028304089289	-0.09895655252601455	-0.12228085184017147	-0.134416738930586	-0.1120850929096092	-0.11627814421229875	-0.09976593996058469	-0.07250452889700575	-0.07254001259827547	-0.17672208521983848	-0.09080147456444852	-0.09755283568921017	-0.07976534992944873	-0.08608798771493194	-0.08670536626893771	-0.11715040581264166	-0.15136816595397765	-0.11692140802299845	-0.0296379966730234	-0.08644183819803782	-0.09186440977664524	-0.09830904510365397	-0.10790704652485322	-0.1074328535950471	-0.07233023426450806	-0.10363720987277245	-0.08699244670177211	-0.12095958813277119	-0.1062729043851713	-0.08947407288976873	-0.08405675386754785	-0.03985324208659396	-0.10564048604227233	-0.11861319433729688	-0.08594037769353154	-0.1560393757000603
KEGG_ALZHEIMERS_DISEASE	0.25420651253012705	0.26993570635735464	0.19423102132819217	0.2774445860891484	0.2415924454854767	0.24389472633065643	0.2653264864630766	0.2827221670156659	0.2440319336927871	0.26662230826736544	0.23830557666376095	0.27566498356859787	0.2534014418436572	0.20434411365240024	0.2102449683563867	0.19998707992563428	0.21676387079904202	0.22220867415714804	0.29521192591192574	0.24419670918134734	0.26050386724714286	0.24026216669441475	0.24818024939812325	0.21728519780051656	0.18437592420523277	0.27442565285078674	0.25590147128752516	0.2344193748869585	0.2806308246459385	0.2686201147551731	0.18503315796678446	0.21756751239229624	0.2471505021393501	0.3099309992011936	0.22559970841358126	0.25298580496567724	0.2804367397881584	0.2557857343025848	0.24425381921690836	0.23976247217543067	0.21249679599035304	0.2541384137143093	0.24423750067631267	0.23855124049025062	0.22449601963419374	0.25350979873031143	0.2662366783722644	0.2488458081627031	0.22556740037199866	0.22649311402092728	0.22633350870204266	0.2362763305877699	0.24459582662805537	0.2150896878917823
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.13060771615709452	0.17083700994343248	0.14717696606551908	0.15568392986864107	0.13290705614954101	0.16221327170739908	0.17278359936944004	0.23171170749005857	0.11230553899977917	0.15421763104936043	0.1808404666485648	0.13028602263243172	0.13872932864138643	0.19724569492528515	0.0918735231563663	0.13370739129070722	0.16549267801095766	0.197422661332053	0.20665317914761921	0.1747085381873209	0.1453369621543394	0.13006328420540963	0.13777215492899827	0.13310280082134257	0.16945589767981722	0.1818988320064882	0.1566734475406871	0.19043653345055564	0.18508825277295576	0.13990516129423308	0.16072090131889455	0.13418505809610506	0.15147521409389336	0.25727386468263536	0.1846513681907191	0.17414180070886226	0.17576373219321573	0.18190288967795015	0.15175263449400173	0.12658986067354278	0.16193538414801192	0.14005572604207742	0.10749974666900307	0.1299171692307213	0.13041268803268777	0.15978336490967562	0.2246828863593294	0.13638163401891842	0.1491117089688448	0.17456947538449794	0.1892497891599693	0.15089477085695954	0.15783926755173025	0.1075421652289258
