pathway_description	BS_4KNBXM3C	BS_3ZPJAK9A	BS_2853394H	BS_E7NVYA6G	BS_CZPQ493E	BS_8ZE4Z9G5	BS_KKDTW11T	BS_00FD2KMP	BS_F21R36MM	BS_KRS4EV4X	BS_HRJ9145M
KEGG_ABC_TRANSPORTERS	0.07661697083875502	0.0949380005277311	0.04326345609031603	0.10030861955810923	0.0799318389309335	0.020845692471546558	0.06286649979896011	0.050606183139440146	0.029106653940084017	0.03857079407094573	0.08703234723902449
KEGG_ACUTE_MYELOID_LEUKEMIA	0.24508499373253825	0.21566044781541657	0.17574893897287616	0.24557871307393556	0.22486924946773146	0.2279814560781929	0.20473960625513646	0.19709394052634813	0.22936578793233622	0.21086155115493233	0.25567293229443855
KEGG_ADHERENS_JUNCTION	0.33647551700311806	0.34225330355587663	0.31278466791927	0.35398097508492526	0.32349700327115694	0.300817532343752	0.3183733282502158	0.33008589986482134	0.3226172562760262	0.29217839831757675	0.3344565478740957
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.1388169769896276	0.13205975251523971	0.10643887184047938	0.13632825899156145	0.11538556112026371	0.10046344748792387	0.09614675053113235	0.12658503293248263	0.11127942107234662	0.1115280125444769	0.14715681691883517
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.2030066612300813	0.20947236089623608	0.16167054687760038	0.16678512825920686	0.19776105520299564	0.21172049662913742	0.10354734379020163	0.20430923783922145	0.17516044279196563	0.16682826775677442	0.18013252106175157
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.13855362415932218	0.14876025887517216	0.1148484819328703	0.15373753289544073	0.10085663551554294	0.09373861692762402	0.12498481227708683	0.15860200617202205	0.12209447506717723	0.07301976582335892	0.13632635189953643
KEGG_ALLOGRAFT_REJECTION	0.12428140883123664	-0.02242832199234298	-0.05040612585141364	0.1422877839648453	0.10380430705162336	0.02391115546940039	0.04770098597962703	-0.030930052633455808	0.01897177093679804	0.00395821796532757	0.16128590612360463
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.03868417563134708	-0.037156177320001704	-0.042735004948417726	-0.03339695737499064	-0.027691751651489727	-0.07011633658751738	-0.06560105328220692	-0.08366857133637755	-0.06164085813992244	-0.043735606558721156	-0.016355630867174103
KEGG_ALZHEIMERS_DISEASE	0.32528298325969635	0.32498474853565734	0.30456983258831094	0.31300324825608306	0.30615400257577946	0.2998281001074207	0.2839137991530475	0.32921701263732067	0.3138731001621708	0.3053951693135965	0.3181775971955618
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.22942619114838447	0.17973503252365583	0.17480093047945267	0.2095787761676328	0.1913889040292023	0.1880035711979719	0.19787475363786286	0.1895954471872986	0.23873635219798162	0.21688028141076832	0.2580545009257317
