pathway_description	BS_FXJY0MNH	BS_C83TK159	BS_8ZY4GST0	BS_FCDAH728	BS_GWSJ4Z9H	BS_G3NN392N	BS_2JP7RBMB	BS_0ZA67BBC	BS_6M2053M0	BS_7WM3MNZ0	BS_5VPM0F36	BS_XGDPK33A	BS_B57327NA	BS_YDEVMD24	BS_XM1AHBDJ	BS_ZF6BSFNF	BS_Z3RCA1T9	BS_H97S5SQN	BS_JQVAWTTM	BS_JB43XBCQ	BS_QNNX91SM	BS_R9B92M75	BS_NGSG2KB6	BS_NEVYM2FP	BS_NB9XXBW6	BS_3AC3SRWH	BS_F0JB4EAK	BS_W7MFJZ5A	BS_J9CBGP57	BS_ZD5HN296	BS_NPA6CZQF	BS_R7NTZR4C
KEGG_ABC_TRANSPORTERS	0.013208120644222639	-0.028479560385497236	-0.0315904735752089	-0.04819432997424465	-0.03201445786403521	-0.03528615024897719	-0.013493617127433247	-0.031609187993560224	-0.033856835973517733	-0.024755624466688653	0.002957924405166955	-0.05195111913559818	-0.040058096207788295	-0.024644149122328506	-0.03062838699724038	-0.04836351577513865	-0.044248410080716186	-0.04865587474947171	-0.07409816191338603	-0.03629019419857227	-0.061508807630173114	-0.024374152718528472	-0.07264247329369941	-0.04978588926576466	-0.029735743482089638	-0.0791529598241543	-0.028540525224418845	-0.043592678000652856	0.009475225751549871	-0.008997364522381575	-0.024839217616156806	-0.046118560949014245
KEGG_ACUTE_MYELOID_LEUKEMIA	0.222102906811257	0.1987409144772026	0.2009466833430651	0.21157641225028098	0.2160635273779841	0.19958694487155249	0.21419413938166063	0.21711345333744608	0.20931957506120247	0.21040571088446242	0.22511280144559212	0.21743537650646705	0.2138109815752898	0.20277982046155468	0.1778785182895232	0.2070225533898516	0.22167719538780034	0.20281299152237614	0.19812596766756146	0.22738588314857866	0.21948206268920317	0.19655432676344006	0.21656383024727693	0.19364358894326514	0.20449770657365082	0.18069707926728168	0.20830763807366942	0.22711532474998533	0.21579039208162226	0.22983999464017876	0.20732321860976352	0.21061102547677418
KEGG_ADHERENS_JUNCTION	0.29110046669821404	0.24509567975141971	0.2500051716888799	0.23193129169357693	0.25631053008379845	0.21350551059143136	0.26084512368787505	0.2548490077178496	0.25061379004971596	0.24365224413076758	0.24308008242021928	0.23132154559985538	0.3046628179566283	0.26571805477263144	0.18686801432853012	0.23942558192741045	0.24319662990777427	0.2522984033295388	0.22619667430958737	0.26178531502564367	0.23388439275270817	0.23605147368596263	0.25051869287954476	0.2387921467434267	0.2604036185539564	0.20561414423506244	0.23905977594150993	0.2567207922120559	0.28783824363975025	0.25626774148144427	0.24617580394713004	0.2423033483263191
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.16245891770176077	0.1293005115210823	0.12646293184651403	0.10675794414833197	0.13283206174198348	0.11385872728269812	0.11657423282143234	0.1313039203479104	0.12753493673765512	0.11642047315467831	0.15591523928993398	0.12456899462584872	0.12741452767826716	0.14208513119820504	0.10195796557480126	0.12748075574303833	0.11608852204907004	0.10432970874395534	0.11739904050414077	0.13477560731115906	0.10029853207753142	0.13567474610078245	0.1334570801773265	0.1264366682826694	0.14218064140318362	0.1319544836826313	0.14897605445418288	0.13768570423374568	0.13495772864946756	0.15218913703074566	0.1299069787431155	0.10149309085379807
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.1522764535240154	0.1499025855422787	0.1483359470771483	0.13318892599445903	0.12997989012082858	0.16237071346546164	0.1247620549879785	0.14624584936821955	0.1519608579747597	0.15857562368039282	0.15380498073490276	0.12842709545461753	0.11560733631800114	0.148142652208471	0.1448976696820263	0.143713891718885	0.10336220308391207	0.12227336992831873	0.16561338980546542	0.15999855337516217	0.14623447191157168	0.16351030048211554	0.1563369793810929	0.1603094716960923	0.14003710106563438	0.16741051455752345	0.14374528354738472	0.141007533595962	0.14830136357320817	0.12607428457140066	0.15109631362229148	0.12273264751544202
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.15046695770195234	0.10506646769253186	0.09070558828135442	0.08494885930258657	0.09473259515582153	0.05833819876125718	0.08636429271525413	0.0798863232126459	0.07162937924664607	0.07431462654607651	0.11868134502761934	0.05114608142228036	0.08461642449804395	0.09997761795056626	0.020619151423120877	0.09471500526360087	0.0709325520530863	0.09088767825223033	0.08269540462534535	0.09585552296844596	0.07884016095236566	0.10518846786792295	0.08647446638387118	0.09767450140520145	0.10209649101981283	0.12072066058044127	0.08546042615444727	0.09901393980365013	0.10761038676877017	0.10314976884384158	0.09842905531334133	0.07599295260943983
KEGG_ALLOGRAFT_REJECTION	0.09628761668052767	0.06586110724767422	-0.012096439867582262	0.04374273948280191	0.13684687625227304	0.10280482893131668	0.04176699338366649	-0.021696314821890227	0.1082624795976257	0.01246924962846922	0.21082241506037347	0.0698632503787888	0.05193264005389631	0.07143455796216282	0.02518110104360686	0.11179530808890926	0.07093686020067526	0.08789864784158362	0.10756217846641965	0.17081410795278332	0.04594997098227408	0.02842564678680279	0.1178123861302729	0.046258094114963406	0.04693656701857378	-0.018932112653508	-0.015238683965058787	0.18077090473851032	0.0914665508032561	0.2056013284788807	0.0028311949814526245	0.032823407037812606
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.08686003333262846	-0.11241510057211515	-0.10524399171491995	-0.1241710015508009	-0.12424664892108128	-0.04718555884176971	-0.1147385394085537	-0.10980642918493694	-0.10461460873975291	-0.12262957189132448	-0.05796774235905392	-0.09562736108758356	-0.08019916498591358	-0.0979773726650573	-0.0715927588636016	-0.11968233183844039	-0.14313869401462082	-0.13896780409321524	-0.109416973229515	-0.1277353328755498	-0.14236627007352332	-0.10720702243892519	-0.10020266810174247	-0.12384970914490757	-0.11003528302751502	-0.0963369680069514	-0.10058710988957918	-0.0845588449791171	-0.09015102716321498	-0.06735101695398821	-0.10177117724956482	-0.09332105529898092
KEGG_ALZHEIMERS_DISEASE	0.3056233183433371	0.3282326812910156	0.30678946278938646	0.3055802585818927	0.3137254078356892	0.312946705757586	0.3156435657213417	0.3074961092625255	0.3174144782835536	0.31023584842755114	0.32318815751199437	0.30681808048840875	0.2988075512526404	0.31022194707102146	0.3111926356555554	0.3112508230285204	0.31024555937289183	0.3068671431617264	0.3175355881021395	0.31640207512538293	0.3135063328942324	0.32412070276650723	0.3132544432050589	0.3197841032906667	0.31459934160966496	0.31817664695263903	0.3161815412596935	0.32471544206333314	0.29608017026532035	0.3247041237137692	0.301816218521682	0.2993880550429271
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.14052265338117675	0.185699924680042	0.16353369591529865	0.17753063164248667	0.1875646246726199	0.2033740999137666	0.20034906001445227	0.18279792712850226	0.1860083412315479	0.18576223000059697	0.21370607047688486	0.18986599248561278	0.1519302776242312	0.16078584614323124	0.2094221248957986	0.18040378322644468	0.16427217791835416	0.1737211958760637	0.20944072070202804	0.18458517122628	0.18764653532391087	0.1765526982563958	0.19486965678022647	0.1841913421344812	0.18310453637465815	0.1589598163990466	0.19118674877031952	0.215382224487234	0.1836029836221899	0.22797832572128113	0.1575586351092582	0.16544910380585917
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.03165357812779102	0.08337291309526924	0.09023783569371142	0.12552924516079017	0.08133819834028226	0.12368392891131257	0.09370241224645251	0.10614768727298116	0.10841708754143353	0.12370672881598622	0.07094553762086937	0.10541563459246138	0.026553166543299315	0.06487984685351274	0.16446980198388356	0.07649028068389499	0.1133438964714919	0.09580244536023365	0.0969439986876806	0.06920986647959701	0.1440291115592425	0.07270938076990627	0.0628035625921919	0.07781821213146647	0.059700515597669146	0.09239695903767603	0.08767354893265551	0.08069926929465963	0.08874296404892579	0.05825853110865532	0.07410678427310757	0.10853268554225041
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.2217447643622706	0.21347984341413132	0.18197846607387821	0.1813939298007362	0.18697550449251243	0.1575707218562099	0.16387768666307723	0.17512825995681433	0.1818450327987909	0.18132664429793252	0.21832560636485804	0.15495754912198767	0.1743195190474801	0.19545504153655915	0.1534845893826713	0.18227805320674678	0.16118195423660947	0.1789895071910888	0.19102609537055038	0.1815752292626494	0.18454412233359294	0.20818894874349522	0.1757329725544783	0.20043838442588058	0.18018944344999785	0.19989531504205155	0.20147136452382464	0.21035101189003858	0.16064479974019627	0.18428773816941885	0.16435914496753962	0.14647106322677445
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.17151071488156408	0.1647720311967397	0.1341239834473648	0.17001934676907962	0.21332510390746962	0.18830471103315577	0.1515818614949728	0.12497734012916313	0.20236434782885945	0.14741199535031804	0.238533034541993	0.1744321866633215	0.17075072102369082	0.1764264687074293	0.13081907732103698	0.20353119930040353	0.18722526808925283	0.19569107264550303	0.1923936068361498	0.24031802953247952	0.1726609939658261	0.15478780705870457	0.21272438108483901	0.17794316685895048	0.16060110368317243	0.09943264796316893	0.1211993476003414	0.22618809214604751	0.18689063085182558	0.23606591424561935	0.1332096943382903	0.161419103440475
KEGG_APOPTOSIS	0.1471845106073327	0.13369020127464126	0.1269908928350525	0.13014883298370894	0.12954981793938294	0.11984617523361318	0.11444203115070808	0.12278358394417568	0.13123555527079006	0.1063753672489405	0.1686947642326735	0.1262359236140071	0.15106086586947212	0.1280931759022584	0.09193225119955499	0.11778621369399224	0.12108723385553591	0.12056975787149987	0.12906266724478718	0.1587150381524711	0.126032625699126	0.13550186123697644	0.14508395954943507	0.1314158844888275	0.1284948709881847	0.12152996425577035	0.13519176141811975	0.1696915621837347	0.12256711817419812	0.17619360879527432	0.11236113474248872	0.10915546875728555
