pathway_description	pvalue	hub_gene	comparison
KEGG_N_GLYCAN_BIOSYNTHESIS	0.001996007984031936	ALG3	cluster2_vs_cluster4
KEGG_PYRIMIDINE_METABOLISM	0.001996007984031936	POLR1C	cluster2_vs_cluster4
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.001996007984031936	ADCY3	cluster2_vs_cluster4
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.003992015968063872	PGD	cluster2_vs_cluster4
KEGG_RIBOSOME	0.003992015968063872	RPL4	cluster2_vs_cluster4
KEGG_FOCAL_ADHESION	0.003992015968063872	LAMC1	cluster2_vs_cluster4
KEGG_ECM_RECEPTOR_INTERACTION	0.005988023952095809	LAMC1	cluster2_vs_cluster4
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.007984031936127744	RAC2	cluster2_vs_cluster4
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.011976047904191617	LCP2	cluster2_vs_cluster4
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.013972055888223553	NIT2	cluster2_vs_cluster4
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0.015968063872255488	SEC22B	cluster2_vs_cluster4
KEGG_SELENOAMINO_ACID_METABOLISM	0.017964071856287425	MAT2A	cluster2_vs_cluster4
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.01996007984031936	MAT2A	cluster2_vs_cluster4
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.021956087824351298	ADCY3	cluster2_vs_cluster4
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.023952095808383235	MSN	cluster2_vs_cluster4
KEGG_PARKINSONS_DISEASE	0.031936127744510975	MT-CO2	cluster2_vs_cluster4
KEGG_BASAL_CELL_CARCINOMA	0.033932135728542916	FZD5	cluster2_vs_cluster4
KEGG_BASAL_TRANSCRIPTION_FACTORS	0.03592814371257485	GTF2H2	cluster2_vs_cluster4
KEGG_STEROID_BIOSYNTHESIS	0.03592814371257485	DHCR24	cluster2_vs_cluster4
KEGG_APOPTOSIS	0.03592814371257485	IL1R1	cluster2_vs_cluster4
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.03592814371257485	MSN	cluster2_vs_cluster4
KEGG_MELANOMA	0.03592814371257485	CCND1	cluster2_vs_cluster4
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.03992015968063872	PIGF	cluster2_vs_cluster4
KEGG_PYRUVATE_METABOLISM	0.03992015968063872	MDH1	cluster2_vs_cluster4
KEGG_ONE_CARBON_POOL_BY_FOLATE	0.03992015968063872	MTHFD1	cluster2_vs_cluster4
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.043912175648702596	TNFRSF1B	cluster2_vs_cluster4
KEGG_SMALL_CELL_LUNG_CANCER	0.043912175648702596	LAMC1	cluster2_vs_cluster4
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.04590818363273453	PLA2G4B	cluster2_vs_cluster4
KEGG_PURINE_METABOLISM	0.0499001996007984	ADSL	cluster2_vs_cluster4
