pathway_description	pvalue	hub_gene	comparison
KEGG_STEROID_HORMONE_BIOSYNTHESIS	0.011976047904191617	CYP1B1	cluster2_vs_cluster3
KEGG_CALCIUM_SIGNALING_PATHWAY	0.011976047904191617	SLC8A3	cluster2_vs_cluster3
KEGG_CIRCADIAN_RHYTHM_MAMMAL	0.01996007984031936	BHLHE41	cluster2_vs_cluster3
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.021956087824351298	S1PR3	cluster2_vs_cluster3
KEGG_ETHER_LIPID_METABOLISM	0.027944111776447105	PLA2G6	cluster2_vs_cluster3
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	0.027944111776447105	PLA2G4B	cluster2_vs_cluster3
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	0.03992015968063872	GBGT1	cluster2_vs_cluster3
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.043912175648702596	MTHFD1	cluster2_vs_cluster3
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.04590818363273453	C1R	cluster2_vs_cluster3
KEGG_SMALL_CELL_LUNG_CANCER	0.04790419161676647	LAMC1	cluster2_vs_cluster3
