pathway_description	BS_A14Z8BBK	BS_9PB3XH5D	BS_2SFTWNVE	BS_1TWCV047	BS_7FWZ518S	BS_J71N7D09	BS_VA5T4KAA	BS_Z45HD492	BS_BSV07M7Z	BS_A87NPZAP	BS_9NZ2D6AD	BS_9M5XJ10G	BS_GNV89A5P	BS_G00FHF3Q	BS_DFWFBYSN	BS_EFE4YEK3	BS_ERWT0ZWE	BS_3NWQXPQV	BS_3MYEMXPQ	BS_4W68NV3M	BS_4PH1MBGR	BS_4CP4T22V	BS_61E80SD6	BS_5PJCHF6V	BS_W9AT0MR7	BS_VMEX27TN	BS_VVFBW0YH	BS_TYAYZ9ZW	BS_TE0GVDNG	BS_ZXYDSBM9	BS_Z7PKVY9J	BS_KN92S7YQ	BS_K74PZET7	BS_KYF0Q0E7	BS_HTEPAKCM	BS_HKZENFDA	BS_HZE3KYZ1	BS_H4B5Y6S0	BS_HF3RNN2T	BS_HD4EJYE3	BS_J8G4SH4Z	BS_JFB984RG	BS_QRDT19KS	BS_QPPPGYP4	BS_NKRYMHEP	BS_NZ71XCG3
KEGG_ABC_TRANSPORTERS	0.004388080281842778	0.014840445590357899	-0.0037038055680961614	0.03822987605182826	0.037484510218052956	0.11336785063989219	0.05844016367605168	0.009211107129085242	-0.01916366493922447	0.028694305376558715	-0.0017292326691152875	0.05311007039674351	-0.03372748095964228	-0.006033238559724559	-0.007559234040209131	-0.028879913297201448	-0.016116607210504983	-0.015955594169294842	-0.0068341717989868584	0.03972162682699841	-0.013494737519201036	-0.012317708492818722	0.06587917869687854	0.013247919431306201	-0.008951619085259804	0.0049922861676137955	0.005958040355178136	-0.030078255615328946	0.026823556168527	-0.018846984584682966	0.007932320320058835	0.014676465157628183	0.036905228593672526	0.03213313388574156	0.006192760007505572	-0.026722936588745812	0.004315089603596895	0.005662431605537015	-0.013762829840188048	-0.009088762747787697	-0.0056617445537854765	-0.013344566205959387	0.031043593806686826	-0.004726694952106907	-0.021850400384447397	0.012903122314736634
KEGG_ACUTE_MYELOID_LEUKEMIA	0.21769508609743413	0.2567718894951201	0.21830138221585071	0.22357196734526127	0.23865353575163997	0.22959348490965123	0.22792003919492856	0.22823857746542342	0.23575570825259407	0.226194846661588	0.21885683199718903	0.2142103050333902	0.22620252604730545	0.24079193290349027	0.22602598112895905	0.21871226130190258	0.2122374134348006	0.2405282493473785	0.2623842862230089	0.22082091951423793	0.23608004059020268	0.24221339099729394	0.2105939975990236	0.22984440487120958	0.20589992710319388	0.23560753627074332	0.23803574019946452	0.2173082892379354	0.19913512061929273	0.2118530504822181	0.19558355955958062	0.23908613585415034	0.2394199369163038	0.201885520182567	0.22587974148213663	0.19592184293209444	0.23147442893376338	0.20014253430173293	0.22762768515695853	0.23731040754844254	0.23187931403655282	0.2353644008122719	0.22492575089932995	0.21480472743185192	0.22054058758758344	0.23489132882864933
KEGG_ADHERENS_JUNCTION	0.2908294753148165	0.3131516638571297	0.2934349891963098	0.28109888842371245	0.3115003350324375	0.2815079123240512	0.29435646095752666	0.2810056746064183	0.28026936491979026	0.2611650084612219	0.2639075213768085	0.30149581909487944	0.2780161387479589	0.30512627783359925	0.28456042387505764	0.28310473468298775	0.29338611359635997	0.28558686209176887	0.30341188461081303	0.29298923093649354	0.2926757512300066	0.29078239672845246	0.27733577124745384	0.29125625549122147	0.2757240175615593	0.2966998380979342	0.29070136559504717	0.27303352527659375	0.2969173051970445	0.2845091045469989	0.2803548903065321	0.2842756569398281	0.27502648297478566	0.2791874469654215	0.2773749801396551	0.2693292065811468	0.28746655872729937	0.2745044614659716	0.2728780070752664	0.29108909424619817	0.2877907514589854	0.28465642638185995	0.27748335366474164	0.28628605956884917	0.29188732682459806	0.28774684445723453
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.136482504808495	0.1364454767865007	0.1341879599821916	0.13941445488138082	0.15671059520250666	0.1468660495749911	0.15070286165635072	0.12493011675839988	0.12478984716631564	0.1503491288223456	0.108348180280878	0.15878743226208294	0.1157302409067253	0.11999006417581015	0.14010980080358507	0.09469756272197312	0.13202067472139198	0.12324370736555197	0.15168883220081428	0.12656953458834463	0.12355806826893953	0.12538662299161646	0.16297560129262606	0.14026683141892687	0.1283511755802481	0.11943851493804276	0.11757776800188051	0.10358105231454215	0.13969172555538362	0.12578147124579897	0.1289339474351188	0.15901670275396165	0.1290311841184927	0.12228527080375202	0.1407810966471105	0.13429379689705384	0.12824878024094666	0.14346402508938902	0.12320862766618611	0.1313276334082717	0.1249548767114706	0.11218377152072566	0.132371341338113	0.12995359643654392	0.11615426840156633	0.14172832340040456
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.11077462519384092	0.08397477560003373	0.12626087085949303	0.05199452134085121	0.1265961298914492	0.10990520947201089	0.06726406151984853	0.06056357424895256	0.07198267322124005	0.07680317749496571	0.08083888214421868	0.07764727105054806	0.07554508267741063	0.054234257670660736	0.08334063367868162	0.08962598377950473	0.12089040612539048	0.047750840157012704	0.0627590564795528	0.07268453888550988	0.04320230882342126	0.07374594066465066	0.09379518211815208	0.07647698354533691	0.138486166580562	0.07952217242508762	0.06870147503829455	0.05270460724422582	0.10167832123940594	0.12980935030409424	0.15627648655391702	0.08327296463945803	0.08905526961749205	0.0998237085244776	0.08413514515984548	0.12840082550708137	0.08274284617554648	0.12209506629892175	0.09361721052802652	0.08301532227925579	0.06516303247598233	0.09632652703494118	0.07455078184079698	0.10916935183733638	0.07797405212267608	0.07717574538550237
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.18355864807236608	0.17470850058394471	0.197395463298084	0.160731225621701	0.214306381514052	0.1919894232765928	0.18155769483007034	0.16138509864558473	0.16907596815933026	0.17373039299001042	0.12903627776492524	0.1894298633266237	0.1685801794053528	0.20267212398711568	0.20047012765405978	0.1412688746056356	0.19214733952959062	0.18416320039326473	0.17355113653952278	0.1681363117454315	0.17384693208432633	0.1743879594146231	0.18585459954518974	0.1869887172071771	0.18116852333730057	0.16018398722307142	0.14707613378809298	0.11408792540125991	0.17068939941780634	0.18316688726359895	0.15284739708353834	0.2020487580397672	0.15050419372901214	0.15960443452561565	0.20109371359418984	0.14114009147182452	0.1621834513421429	0.15417270872779004	0.17772418826279252	0.18576919168392175	0.17366477168463323	0.13968267316592242	0.1589133102617449	0.19309806584357472	0.16666828393692332	0.18121381261814495
KEGG_ALLOGRAFT_REJECTION	-0.18399627657888457	-0.10229017478860693	-0.14250464294679022	-0.1751754231396272	-0.044054115024028714	-0.19867171337651154	-0.14828688123944908	-0.16325434085241916	-0.1870903319843141	-0.15729203826458513	-0.19425858934525	-0.14097508151873755	-0.17604544551066836	-0.10407995752223144	-0.14940481871351535	-0.1954091619521205	-0.1345110105047395	-0.16609055987567647	-0.07665883127383112	-0.16505949246220925	-0.16663839261573773	-0.215613640169027	-0.13707276264357082	-0.13660038623617093	-0.2049112110482583	-0.11620615372373025	-0.12982584519136312	-0.11393475461237557	-0.1617966583461722	-0.18546517893526984	-0.19001463677155891	-0.10793203543848899	-0.19892821011559506	-0.196462454270161	-0.1476572596887002	-0.1777767763531811	-0.13662607225495124	-0.17943001321848942	-0.15186816947708742	-0.13750747104023908	-0.20420254211830144	-0.20217805258924354	-0.13986664080613867	-0.14472576726099712	-0.19923522596257395	-0.16906091940202944
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.13198639572395834	-0.13178537215968286	-0.10296156037529387	-0.130129170218267	-0.13007650676580582	-0.0958245385907605	-0.08678700801342482	-0.11459239663320739	-0.09790259233729735	-0.07843373815597342	-0.13538423952256837	-0.10913902243799149	-0.09364607249786296	-0.09448646901998649	-0.10713192802720338	-0.12139703543740327	-0.10673669907657198	-0.09027237285338355	-0.12924285152655007	-0.0903455245115745	-0.10281712275202358	-0.09696199507858656	-0.10553896830596567	-0.09008196863166716	-0.11590187974402977	-0.1068214363121541	-0.11202191133826331	-0.11676030987349664	-0.13756247914758213	-0.11127552129306585	-0.12228658170844224	-0.08800553627920969	-0.1103837233431019	-0.10476788340082457	-0.09683533084525961	-0.1168124157806905	-0.11433756247748697	-0.1184157415534352	-0.10735217882144428	-0.11076098976633984	-0.10574101396023698	-0.11744152876788881	-0.08550821685107014	-0.09375464082099949	-0.10790162482024912	-0.10290074560195511
KEGG_ALZHEIMERS_DISEASE	0.23402393232742927	0.2351099636726663	0.23964920198270948	0.2172874989971012	0.25242317677583753	0.21610920463563416	0.2406429019582421	0.24686727220906432	0.23680434439827014	0.21467938820545984	0.2401703748707347	0.2203850759792922	0.2112096849300848	0.21839301558486754	0.2244259249160941	0.23834750676880184	0.22199354053528314	0.2065436280533739	0.22692914169634487	0.20284735443337146	0.21369743614779974	0.19217102773995637	0.23742507029209536	0.21098701286772062	0.245664879251679	0.2226414722340661	0.2212431296923297	0.23398275978031732	0.2267651635607289	0.2541610054967444	0.2314068996345879	0.20862021643664666	0.23614300727517	0.22760773951357308	0.21553067353077404	0.24799119111089832	0.22274926238928577	0.22845852565661806	0.21585184585047779	0.2362758716120539	0.21586581562335103	0.22557757395389627	0.2177901270595311	0.22748209799673141	0.21925673277583657	0.22165603806433654
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.089531549184949	0.12305697981959574	0.0934191177540514	0.12787566044741383	0.11061526295964796	0.09449906152961221	0.12986727813796187	0.1263224580403415	0.1095194376478675	0.10231652009947484	0.11923715278771535	0.11942835643915435	0.11822183834238743	0.0951495042288681	0.09387519828178444	0.13964343469744767	0.11930350708485254	0.09578848958714285	0.0949715140986069	0.11291192695717078	0.0966014277291526	0.10924524189720781	0.10093451254547772	0.11066170128968394	0.10787797086621245	0.09766056716964	0.09995042795387028	0.10663760578301562	0.11501786425395902	0.10664340517714435	0.10190625595717083	0.13578036401442098	0.1165692290382511	0.12490177469921447	0.1052319600079826	0.1266494367704101	0.10977558588584908	0.11070115536310737	0.11426478898963625	0.10981848198039815	0.10307049620097504	0.13474498197305748	0.10594073228018801	0.10566149058623023	0.11742498997774985	0.08901852221784336
