c_index	somer_dxy	mtry	ntree	mincriterion
0.4655519235604727	-0.0688961528790546	1	100	0.95
0.49471963791802864	-0.010560724163942714	1	100	0.6
0.5077948202162434	0.015589640432486895	1	600	1
0.5095549409102339	0.0191098818204678	1	900	1
0.515212471712346	0.03042494342469193	1	1300	0.9
0.5160925320593412	0.032185064118682494	1	200	0.8500000000000001
0.5179783756600452	0.03595675132009046	1	1000	1
0.518984158913754	0.03796831782750809	1	900	0.8500000000000001
0.5202413879808901	0.04048277596178029	1	300	1
0.521875785768167	0.04375157153633391	1	1100	1
0.5238873522755846	0.04777470455116917	1	1800	0.95
0.5265275333165703	0.053055066633140635	2	100	0.55
0.5270304249434247	0.05406084988684934	1	200	0.75
0.5276590394769927	0.05531807895398533	1	700	0.95
0.5281619311038471	0.05632386220769425	1	1400	0.95
0.5286648227307016	0.05732964546140318	1	500	0.95
0.5295448830776968	0.05908976615539352	1	100	0.65
0.5295448830776968	0.05908976615539352	1	1700	0.8
0.5296706059844104	0.059341211968820806	1	300	0.75
0.5300477747045512	0.060095549409102444	1	800	0.65
0.5304249434246919	0.06084988684938386	1	100	1
0.5306763892381192	0.061352778476238434	1	1300	0.95
0.5309278350515464	0.061855670103092786	1	400	1
0.5318078953985416	0.06361579079708313	1	400	0.95
0.5319336183052552	0.06386723661051041	1	1400	0.8500000000000001
0.532310787025396	0.06462157405079205	1	600	0.95
0.5324365099321097	0.06487301986421934	1	300	0.95
0.532939401558964	0.06587880311792804	1	1000	0.9
0.5330651244656777	0.06613024893135533	1	600	0.9
0.5345737993462408	0.06914759869248166	1	1900	1
0.5349509680663816	0.0699019361327633	1	800	0.75
0.5349509680663816	0.0699019361327633	1	1200	0.9
0.5349509680663816	0.0699019361327633	1	1500	0.95
0.5352024138798089	0.07040482775961787	1	1600	0.95
0.5353281367865225	0.07065627357304494	1	400	0.55
0.5355795825999498	0.07115916519989951	1	100	0.8
0.5364596429469449	0.07291928589388985	1	400	0.7
0.5365853658536586	0.07317073170731714	1	1500	1
0.5370882574805129	0.07417651496102584	1	2000	1
0.5377168720140809	0.07543374402816183	1	1700	0.8500000000000001
0.5377168720140809	0.07543374402816183	1	1900	0.95
0.5379683178275082	0.0759366356550164	1	2000	0.9
0.5380940407342217	0.07618808146844347	1	1300	0.8500000000000001
0.5385969323610762	0.0771938647221524	1	800	0.95
0.538974101081217	0.07794820216243403	1	1300	1
0.538974101081217	0.07794820216243403	1	1700	1
0.5390998239879305	0.0781996479758611	1	800	1
0.5390998239879305	0.0781996479758611	1	1200	1
0.5394769927080714	0.07895398541614274	1	500	0.9
0.5397284385214987	0.07945687704299731	1	1200	0.95
0.5398541614282122	0.07970832285642437	1	1200	0.8500000000000001
0.5406084988684938	0.08121699773698765	1	200	0.95
0.5406084988684938	0.08121699773698765	1	1900	0.9
0.540859944681921	0.081719889363842	1	1800	0.7
0.5409856675886346	0.08197133517726929	1	900	0.8
0.5411113904953483	0.08222278099069658	1	2000	0.95
0.5413628363087755	0.08272567261755093	1	600	0.8500000000000001
0.5413628363087755	0.08272567261755093	1	700	0.9
0.5416142821222026	0.08322856424440528	1	1300	0.7
0.5417400050289163	0.08348001005783257	1	1800	0.9
0.5419914508423435	0.08398290168468692	1	1200	0.65
0.5419914508423435	0.08398290168468692	1	1300	0.75
0.5421171737490571	0.0842343474981142	1	100	0.7
0.5421171737490571	0.0842343474981142	1	2000	0.8
0.5423686195624843	0.08473723912496856	1	1100	0.7
0.5424943424691979	0.08498868493839584	1	1800	0.8
0.5428715111893387	0.08574302237867748	1	1000	0.95
0.5433744028161931	0.08674880563238618	2	100	0.8
0.5440030173497611	0.08800603469952217	1	500	1
0.5442544631631884	0.08850892632637675	1	700	0.8500000000000001
0.5446316318833292	0.08926326376665839	1	1400	0.9
0.5446316318833292	0.08926326376665839	1	1400	1
0.5448830776967564	0.08976615539351274	1	300	0.8500000000000001
0.5450088006034699	0.0900176012069398	1	1000	0.8500000000000001
0.5451345235101835	0.09026904702036709	1	1600	0.9
0.5455116922303244	0.09102338446064873	1	1500	0.75
0.545637415137038	0.09127483027407601	1	200	1
0.5457631380437515	0.09152627608750308	1	1100	0.95
0.5457631380437515	0.09152627608750308	1	1700	0.95
0.5460145838571788	0.09202916771435765	1	1600	1
0.546266029670606	0.092532059341212	1	900	0.5
0.5467689212974604	0.0935378425949207	1	300	0.8
0.5467689212974604	0.0935378425949207	1	300	0.9
0.5472718129243148	0.09454362584862963	1	2000	0.75
0.5473975358310285	0.09479507166205692	1	1600	0.8
0.5476489816444556	0.09529796328891127	1	1000	0.6
0.5480261503645965	0.09605230072919291	1	1700	0.9
0.54815187327131	0.09630374654261997	1	1400	0.8
0.54815187327131	0.09630374654261997	1	1800	1
0.5484033190847373	0.09680663816947455	1	900	0.65
0.5485290419914508	0.09705808398290161	1	600	0.8
0.5489062107115916	0.09781242142318325	1	1200	0.55
0.5490319336183053	0.09806386723661054	1	400	0.5
0.5499119939653004	0.09982398793060088	1	2000	0.7
0.5501634397787277	0.10032687955745545	1	800	0.9
0.5506663314055821	0.10133266281116415	1	600	0.65
0.5507920543122957	0.10158410862459144	1	900	0.7
0.5510435001257229	0.10208700025144579	1	500	0.75
0.5510435001257229	0.10208700025144579	1	1500	0.8
0.5512949459391501	0.10258989187830014	1	1900	0.7
0.5512949459391501	0.10258989187830014	1	2000	0.8500000000000001
0.5515463917525774	0.10309278350515472	1	1100	0.6
0.5516721146592909	0.10334422931858178	1	1000	0.75
0.5516721146592909	0.10334422931858178	1	1800	0.8500000000000001
0.5517978375660045	0.10359567513200907	1	1600	0.75
0.5521750062861454	0.1043500125722907	1	400	0.6
0.5521750062861454	0.1043500125722907	1	1200	0.6
0.5525521750062862	0.10510435001257235	1	900	0.55
0.5526778979129997	0.10535579582599941	1	1600	0.8500000000000001
0.552929343726427	0.10585868745285398	1	200	0.8
0.5530550666331405	0.10611013326628105	1	1200	0.7
0.5533065124465678	0.10661302489313562	1	600	0.5
0.5540608498868493	0.10812169977369868	1	700	0.7
0.5543122957002766	0.10862459140055325	1	2000	0.6
0.5544380186069902	0.10887603721398031	1	300	0.7
0.5545637415137038	0.1091274830274076	1	900	0.75
0.5549409102338446	0.10988182046768924	1	200	0.9
0.5550666331405583	0.11013326628111653	1	1000	0.65
0.5551923560472718	0.11038471209454359	1	1000	0.8
0.5551923560472718	0.11038471209454359	1	1100	0.9
0.5553180789539854	0.11063615790797088	1	600	0.7
0.5553180789539854	0.11063615790797088	1	700	1
0.5555695247674126	0.11113904953482523	1	2000	0.55
0.5556952476741263	0.11139049534825252	1	1500	0.9
0.5558209705808398	0.11164194116167958	1	1500	0.7
0.5561981393009806	0.11239627860196122	1	700	0.75
0.5563238622076943	0.1126477244153885	1	500	0.55
0.5563238622076943	0.1126477244153885	1	1400	0.7
0.5563238622076943	0.1126477244153885	1	1400	0.75
0.5564495851144079	0.11289917022881579	1	800	0.8
0.5565753080211214	0.11315061604224286	1	1800	0.65
0.5569524767412622	0.1139049534825245	1	700	0.8
0.5569524767412622	0.1139049534825245	1	1700	0.55
0.5570781996479759	0.11415639929595178	1	800	0.55
0.5573296454614031	0.11465929092280613	1	800	0.7
0.5574553683681167	0.11491073673623342	1	1700	0.7
0.5578325370882575	0.11566507417651506	1	600	0.6
0.5579582599949711	0.11591651998994212	1	1100	0.8
0.5580839829016847	0.11616796580336941	1	1300	0.8
0.5583354287151119	0.11667085743022376	1	400	0.8500000000000001
0.5584611516218255	0.11692230324365105	1	1100	0.75
0.5584611516218255	0.11692230324365105	1	1700	0.65
0.5585868745285391	0.11717374905707811	1	200	0.7
0.5587125974352527	0.1174251948705054	1	700	0.5
0.5587125974352527	0.1174251948705054	1	1100	0.8500000000000001
0.5587125974352527	0.1174251948705054	1	1900	0.8500000000000001
0.5592154890621072	0.11843097812421433	1	1900	0.8
0.5592154890621072	0.11843097812421433	2	200	0.5
0.5593412119688207	0.11868242393764139	1	1000	0.5
0.5598441035956752	0.11968820719135032	1	500	0.8
0.5603469952225295	0.12069399044505902	1	1000	0.7
0.5605984410359568	0.12119688207191359	1	400	0.8
0.5605984410359568	0.12119688207191359	1	700	0.65
0.560849886849384	0.12169977369876794	1	1900	0.5
0.5609756097560976	0.12195121951219523	1	400	0.9
0.5611013326628111	0.1222026653256223	1	1400	0.65
