pathway_description	pvalue	hub_gene	comparison
KEGG_OTHER_GLYCAN_DEGRADATION	0.001996007984031936	MAN2B1	cluster1_vs_cluster3
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.001996007984031936	YARS2	cluster1_vs_cluster3
KEGG_BASAL_TRANSCRIPTION_FACTORS	0.001996007984031936	TAF11	cluster1_vs_cluster3
KEGG_NON_HOMOLOGOUS_END_JOINING	0.001996007984031936	RAD50	cluster1_vs_cluster3
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.001996007984031936	HLA-DMA	cluster1_vs_cluster3
KEGG_PRIMARY_IMMUNODEFICIENCY	0.001996007984031936	CIITA	cluster1_vs_cluster3
KEGG_OXIDATIVE_PHOSPHORYLATION	0.001996007984031936	NDUFA2	cluster1_vs_cluster3
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	0.001996007984031936	ACAT2	cluster1_vs_cluster3
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.001996007984031936	AKR1C3	cluster1_vs_cluster3
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	0.001996007984031936	ITPA	cluster1_vs_cluster3
KEGG_RIBOSOME	0.001996007984031936	RPL32	cluster1_vs_cluster3
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.001996007984031936	RFC1	cluster1_vs_cluster3
KEGG_MISMATCH_REPAIR	0.001996007984031936	RFC4	cluster1_vs_cluster3
KEGG_HOMOLOGOUS_RECOMBINATION	0.001996007984031936	MRE11	cluster1_vs_cluster3
KEGG_CELL_CYCLE	0.001996007984031936	ORC1	cluster1_vs_cluster3
KEGG_OOCYTE_MEIOSIS	0.001996007984031936	PTTG1	cluster1_vs_cluster3
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.001996007984031936	ERCC8	cluster1_vs_cluster3
KEGG_REGULATION_OF_AUTOPHAGY	0.001996007984031936	ATG12	cluster1_vs_cluster3
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.001996007984031936	C2	cluster1_vs_cluster3
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.001996007984031936	CD4	cluster1_vs_cluster3
KEGG_LONG_TERM_POTENTIATION	0.001996007984031936	PPP3CB	cluster1_vs_cluster3
KEGG_TYPE_I_DIABETES_MELLITUS	0.001996007984031936	HLA-DMA	cluster1_vs_cluster3
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.001996007984031936	MAPK3	cluster1_vs_cluster3
KEGG_ALZHEIMERS_DISEASE	0.001996007984031936	NDUFA2	cluster1_vs_cluster3
KEGG_PARKINSONS_DISEASE	0.001996007984031936	NDUFS6	cluster1_vs_cluster3
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.001996007984031936	MAPK11	cluster1_vs_cluster3
KEGG_HUNTINGTONS_DISEASE	0.001996007984031936	CLTA	cluster1_vs_cluster3
