pathway_description	pvalue	hub_gene	comparison
KEGG_SELENOAMINO_ACID_METABOLISM	0.001996007984031936	TRMT11	cluster1_vs_cluster3
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.001996007984031936	STAT3	cluster1_vs_cluster3
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.001996007984031936	LCP2	cluster1_vs_cluster3
KEGG_MISMATCH_REPAIR	0.003992015968063872	RFC3	cluster1_vs_cluster3
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.005988023952095809	DARS2	cluster1_vs_cluster3
KEGG_BASAL_TRANSCRIPTION_FACTORS	0.005988023952095809	GTF2H1	cluster1_vs_cluster3
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.005988023952095809	ITGA9	cluster1_vs_cluster3
KEGG_PYRIMIDINE_METABOLISM	0.005988023952095809	CTPS1	cluster1_vs_cluster3
KEGG_NITROGEN_METABOLISM	0.005988023952095809	CA2	cluster1_vs_cluster3
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.005988023952095809	GSTZ1	cluster1_vs_cluster3
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.005988023952095809	AKT1	cluster1_vs_cluster3
KEGG_DILATED_CARDIOMYOPATHY	0.00998003992015968	ITGA9	cluster1_vs_cluster3
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.00998003992015968	HLA-DOA	cluster1_vs_cluster3
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.00998003992015968	DNM2	cluster1_vs_cluster3
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.011976047904191617	PRKCA	cluster1_vs_cluster3
KEGG_PRIMARY_IMMUNODEFICIENCY	0.013972055888223553	BTK	cluster1_vs_cluster3
KEGG_ONE_CARBON_POOL_BY_FOLATE	0.015968063872255488	MTHFD1L	cluster1_vs_cluster3
KEGG_RNA_POLYMERASE	0.017964071856287425	POLR2B	cluster1_vs_cluster3
KEGG_DNA_REPLICATION	0.017964071856287425	MCM4	cluster1_vs_cluster3
KEGG_BASE_EXCISION_REPAIR	0.017964071856287425	POLD1	cluster1_vs_cluster3
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.017964071856287425	SMURF2	cluster1_vs_cluster3
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.01996007984031936	ARRB2	cluster1_vs_cluster3
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	0.021956087824351298	B3GALT1	cluster1_vs_cluster3
KEGG_OLFACTORY_TRANSDUCTION	0.021956087824351298	CALM3	cluster1_vs_cluster3
KEGG_RNA_DEGRADATION	0.029940119760479042	EXOSC9	cluster1_vs_cluster3
KEGG_TIGHT_JUNCTION	0.029940119760479042	MAGI3	cluster1_vs_cluster3
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.029940119760479042	AKT1	cluster1_vs_cluster3
KEGG_O_GLYCAN_BIOSYNTHESIS	0.031936127744510975	GALNT2	cluster1_vs_cluster3
KEGG_ECM_RECEPTOR_INTERACTION	0.031936127744510975	COL4A2	cluster1_vs_cluster3
KEGG_PURINE_METABOLISM	0.033932135728542916	POLR3D	cluster1_vs_cluster3
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	0.033932135728542916	ITPA	cluster1_vs_cluster3
KEGG_AXON_GUIDANCE	0.03592814371257485	NCK2	cluster1_vs_cluster3
KEGG_LEISHMANIA_INFECTION	0.03592814371257485	ITGB2	cluster1_vs_cluster3
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.03792415169660679	CALM3	cluster1_vs_cluster3
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.03792415169660679	C4A	cluster1_vs_cluster3
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.03792415169660679	DOCK1	cluster1_vs_cluster3
KEGG_PRION_DISEASES	0.03792415169660679	MAP2K1	cluster1_vs_cluster3
KEGG_BUTANOATE_METABOLISM	0.03992015968063872	ALDH5A1	cluster1_vs_cluster3
KEGG_CELL_CYCLE	0.03992015968063872	CDK2	cluster1_vs_cluster3
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.041916167664670656	DGKA	cluster1_vs_cluster3
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	0.041916167664670656	TUBA8	cluster1_vs_cluster3
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.041916167664670656	GPI	cluster1_vs_cluster3
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.043912175648702596	ITGA9	cluster1_vs_cluster3
KEGG_FOCAL_ADHESION	0.04590818363273453	FLT4	cluster1_vs_cluster3
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.04790419161676647	TNFRSF1B	cluster1_vs_cluster3
