pathway_description	pvalue	hub_gene	comparison
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.001996007984031936	ALDH6A1	cluster1_vs_cluster2
KEGG_PROPANOATE_METABOLISM	0.001996007984031936	ALDH6A1	cluster1_vs_cluster2
KEGG_RIBOSOME	0.001996007984031936	RPS25	cluster1_vs_cluster2
KEGG_SPHINGOLIPID_METABOLISM	0.003992015968063872	GBA	cluster1_vs_cluster2
KEGG_TRYPTOPHAN_METABOLISM	0.003992015968063872	EHHADH	cluster1_vs_cluster2
KEGG_LONG_TERM_DEPRESSION	0.003992015968063872	GNAO1	cluster1_vs_cluster2
KEGG_STEROID_HORMONE_BIOSYNTHESIS	0.005988023952095809	HSD17B8	cluster1_vs_cluster2
KEGG_BUTANOATE_METABOLISM	0.005988023952095809	HMGCL	cluster1_vs_cluster2
KEGG_TYPE_II_DIABETES_MELLITUS	0.005988023952095809	PRKCZ	cluster1_vs_cluster2
KEGG_PYRIMIDINE_METABOLISM	0.011976047904191617	CAD	cluster1_vs_cluster2
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0.015968063872255488	VARS2	cluster1_vs_cluster2
KEGG_PARKINSONS_DISEASE	0.01996007984031936	MT-ATP6	cluster1_vs_cluster2
KEGG_HISTIDINE_METABOLISM	0.021956087824351298	HEMK1	cluster1_vs_cluster2
KEGG_PYRUVATE_METABOLISM	0.021956087824351298	ACACB	cluster1_vs_cluster2
KEGG_OXIDATIVE_PHOSPHORYLATION	0.023952095808383235	MT-ND5	cluster1_vs_cluster2
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	0.02594810379241517	PMM2	cluster1_vs_cluster2
KEGG_BETA_ALANINE_METABOLISM	0.02594810379241517	HIBCH	cluster1_vs_cluster2
KEGG_PEROXISOME	0.02594810379241517	HMGCL	cluster1_vs_cluster2
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.02594810379241517	CACNA1C	cluster1_vs_cluster2
KEGG_SPLICEOSOME	0.033932135728542916	RBM17	cluster1_vs_cluster2
KEGG_RIBOFLAVIN_METABOLISM	0.03792415169660679	ENPP1	cluster1_vs_cluster2
KEGG_CALCIUM_SIGNALING_PATHWAY	0.03792415169660679	CAMK4	cluster1_vs_cluster2
KEGG_RETINOL_METABOLISM	0.041916167664670656	DHRS3	cluster1_vs_cluster2
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.04590818363273453	CXCL16	cluster1_vs_cluster2
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.04590818363273453	DDX58	cluster1_vs_cluster2
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.04790419161676647	CACNB1	cluster1_vs_cluster2
KEGG_LONG_TERM_POTENTIATION	0.0499001996007984	ADCY1	cluster1_vs_cluster2
