pathway_description	BS_8ZP3CBQA	BS_E4F1D721	BS_0QYS36NR	BS_1J2WQ08M	BS_196BBNEJ	BS_6H1C1ME9	BS_4T0HPZDC	BS_WRHDP7WF	BS_XQYHPBFS	BS_KXMYBQ6N	BS_MA2T7ET1	BS_JHGW42S6	BS_RHD7XPNP	BS_RGPSEMHC	BS_PJPGVD62	BS_J8VX4D17	BS_8RHPJ740	BS_CXVJK2FY	BS_T1DVKKJB	BS_V4W81SFC
KEGG_ABC_TRANSPORTERS	-0.0014554743425552643	-0.06080269961067146	-0.00605880855249008	-0.023805006915766803	-9.437329034662145e-4	-0.008900019221441966	-0.004622188519108989	0.0014516939128225545	0.0038745655253133613	-0.038837583914549285	-0.03451079572020987	-0.003841755993675024	-0.0037688427937080955	0.012489451653169205	-0.019539758871601733	-0.006236265479336974	-0.024524128616777725	-0.05527968607081462	-0.004709874543261429	-0.03610058507796345
KEGG_ACUTE_MYELOID_LEUKEMIA	0.2423384792058236	0.2337728707273863	0.28108282516745153	0.2682022061382481	0.25600757794382795	0.25119159695862636	0.272713933163118	0.2587731705539574	0.24924419184970298	0.2568151626014284	0.2305415290130857	0.2467198659184497	0.24218876629401925	0.24871844940327772	0.29252086995810656	0.25377304203963863	0.25299172915634627	0.2652791617335631	0.26929732203281914	0.2442545213320798
KEGG_ADHERENS_JUNCTION	0.2868308217142407	0.2886869326344957	0.30034610306811843	0.311924847372897	0.2953886125962887	0.2857184349837218	0.30148541643930055	0.29805397309561904	0.29642902240803876	0.30128378371769676	0.29577983930608454	0.2820279862670281	0.27418228212989515	0.2902873188761971	0.2769390295537657	0.2860707710782408	0.2905115060765678	0.2850685715641773	0.26345303606389	0.303391181293208
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.15024799393053032	0.1628275338297532	0.16716925255970536	0.1585658796467373	0.1624404049302133	0.15708802813362147	0.1754350117525091	0.16248056160496893	0.1652273612513322	0.16097090256001106	0.13696857964713843	0.16130661135339602	0.1564169183081491	0.16610064431497598	0.1868614094122886	0.1593079451037462	0.13927309636586097	0.14843535091735074	0.16426756695747333	0.13296698413729188
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.10901085286077224	0.0718809732823642	0.08649908539537175	0.10904916297593285	0.11742652888328296	0.13029342755382362	0.12281073744968249	0.0948793293880317	0.10601894031732166	0.09603297938860007	0.13083451738392685	0.09188278194658119	0.09300226734484306	0.09261265850015678	0.10029380328388218	0.11264783486429862	0.15122520369456588	0.07407283344162205	0.06071154399307795	0.10900560423106354
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.11269611327758979	0.09676485065380838	0.1417320829642496	0.08695743149042891	0.12069082923047031	0.11912442311015962	0.14975637876006812	0.1396078906173141	0.12966005460555335	0.09524233739663646	0.10253302976738723	0.11241742185421276	0.10412749089653231	0.12819187279822983	0.13980273772670365	0.11767730812466753	0.09103441760043286	0.1032627770398505	0.08798345380012586	0.09710035506702774
KEGG_ALLOGRAFT_REJECTION	0.054675463301007636	0.04572711023473006	0.17912908271968903	0.13600749410396384	0.04235847386682889	0.11052817193525452	0.17850837451880908	0.14282912039926376	0.14066305528667453	0.16931719174981877	0.059549855224466056	0.1519809257753399	0.08441086268486951	0.16501302327583486	0.14947088431954075	0.13532770805062086	0.08588384710562132	0.0569398534844644	0.12397535812411693	0.04366252461040111
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.0857854056900821	-0.05444359649165522	-0.09006773450532043	-0.12493052116361746	-0.06909390910383105	-0.036857178064826274	-0.07418193348913954	-0.09260113217123077	-0.04674633236697666	-0.09009448577828631	-0.08783440207548573	-0.06670354633458501	-0.0460830762727671	-0.027978156379970476	-0.03633881155865693	-0.09031925296590194	-0.08511470270797523	-0.08981706767946436	-0.08296536598875377	-0.1153508224027072
KEGG_ALZHEIMERS_DISEASE	0.3091687565391174	0.30917595876621196	0.29906999327530387	0.293795225111864	0.2909810859084676	0.3055176057765878	0.3081689595612517	0.30712701448400687	0.29933707779322904	0.301105745620344	0.295230267447954	0.2940752213552213	0.29450383903594596	0.2971080564423442	0.287022758724992	0.29164179784583527	0.3171614744259	0.2791719007978979	0.29435625044565583	0.3027145455607341
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.19281838850766295	0.15468210474720015	0.2404559723390717	0.23430452800957702	0.16783530155203774	0.2344645201799488	0.24672709531890322	0.19710615134207266	0.20994579080312475	0.21755976448320727	0.21049071482347287	0.17887705480099456	0.17831884374953383	0.19446661232658985	0.2668276614709144	0.1887627309282971	0.24429093310233788	0.15472820702840592	0.1745113271427529	0.1901155969424625
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.06429206434890991	0.06225160977803277	0.03264293157892095	0.06334601240108284	0.05375318033370634	0.06754615199476299	0.03374745525508283	0.03227980485150098	0.03792166013421035	0.06399578718068101	0.09111466140728172	0.05098047582743044	0.07550206695055267	0.03628979622287624	0.029330091226699325	0.06449805531219166	0.07971534799324054	0.08929163784362165	0.07724590391965595	0.08269968128044734
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.13745694877545964	0.16093102390818148	0.16898302405669618	0.16101467310291165	0.15281601664227762	0.1342012294776246	0.19197082669430576	0.15483061250421434	0.15298787275483638	0.1906363482572706	0.17816732388827813	0.11677861557015125	0.10943307445644587	0.1519440867360429	0.16726976555895112	0.14838597268857695	0.14778521239606054	0.12157258031414041	0.1566709888864417	0.15865804306899778
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.16605142903477432	0.14382550042520176	0.22540476662806447	0.19574965274510733	0.1597012503562855	0.2017142099754229	0.23088659682706061	0.21421517113921817	0.20603412284591938	0.21487751662355165	0.15271039359478197	0.22269852645708782	0.18021564618750727	0.22613674023146008	0.21463583527180208	0.2097601051160826	0.17716965913230112	0.17058568611515307	0.1954373408340441	0.15697247131061406
KEGG_APOPTOSIS	0.13461176197617494	0.14532470170054557	0.17880232284546113	0.1522340039666623	0.12791342875308054	0.14499627668352089	0.1745425139134938	0.1745965034425691	0.14851087876476668	0.1732603620864383	0.1365201561781324	0.1313250930613087	0.1278954861450831	0.16410051420662153	0.2168860316777709	0.13775712645202348	0.14511260321203218	0.13832529955595851	0.14786728140515237	0.14733412909661045
