pathway_description	BS_EVCAC3NH	BS_74G5K7JF	BS_C05FKR8X	BS_FTKPQ5FZ	BS_G23JJAZY	BS_CZ3NA7KV	BS_CZ3ER8DY	BS_EK5PCKY0	BS_7G42J2SK	BS_4NWHYH53	BS_W80TJC27	BS_XF0ZX2B3	BS_KBT7MQ6H	BS_MT15SGJN	BS_H4NXBD2D	BS_QXKRN6CR	BS_NGHK9RZP	BS_N5DVEJXT
KEGG_ABC_TRANSPORTERS	0.044622924132732035	0.027120008350443266	0.0335862389596454	0.05523330906091099	0.02267614004232963	0.06073603439249442	0.0461781895505907	0.061983735297226346	0.04845570109926887	0.03935592915548512	0.0546808178639059	0.051808392911123345	0.032769949274759576	0.056070308399842055	0.05346747521929385	0.043641261644136106	0.0576401922466046	0.04445804564219062
KEGG_ACUTE_MYELOID_LEUKEMIA	0.2549473933989031	0.24355235693286278	0.2844993548940191	0.2599502553309284	0.24833082455562563	0.2313155852730577	0.2504117867178866	0.225470299435765	0.2595754459570243	0.259390365757236	0.2478941735921749	0.2576216164445652	0.295506225184619	0.24971674175170827	0.24190565886807205	0.24415914721331664	0.2916603710381591	0.2711969856192997
KEGG_ADHERENS_JUNCTION	0.3493450725689379	0.3130339200488953	0.33339545563434375	0.32063186015189005	0.31758062481686467	0.3275825667088101	0.326396908392827	0.32033173200192444	0.32652273614314775	0.33982046432325635	0.3138208966196881	0.34133265198770446	0.34004817281786176	0.3134982544448417	0.3233682123201602	0.3006157208989218	0.30224838962997186	0.3141547872027098
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.15219019803982625	0.15587089876246016	0.1477770779436761	0.15656809356064996	0.148786624949592	0.18060953320813994	0.1643958747374473	0.16233673347789848	0.14201810267633402	0.19711934964621097	0.17574597483315194	0.19141638773097155	0.1851247064836923	0.16513288386743993	0.15771123374758028	0.1659891512814222	0.18399111797432832	0.1354787140878125
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.13466304657456762	0.10044012972059463	0.07950247050248317	0.07294966693173804	0.13534442249790626	0.08452014816389193	0.10902244267470454	0.09736959449499008	0.10120373800320766	0.06842166526033995	0.08796357438625425	0.11376523433417073	0.080781300665832	0.09074004715781385	0.09044219684898736	0.08479875892899896	0.08299408773338125	0.0806149933400326
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.16534696948949404	0.09387670075607339	0.1002659288011753	0.12951072813992046	0.09660386145223496	0.1127072501834123	0.10465940191954598	0.09851533862624129	0.07592791125577318	0.1333942729421222	0.07224105466054417	0.13685768074029514	0.131397626841903	0.13895773210881088	0.08156328921929791	0.10574399046282362	0.14467994618641963	0.10504613202961299
KEGG_ALLOGRAFT_REJECTION	-0.12029331692894024	0.0011810879725715924	-0.0571222662508007	-0.056780644640703	-0.13287699282007354	0.062078616191638875	0.01289591328327649	-0.012967670076585397	-0.054206403725879544	0.09050215735123916	0.0991048505598609	0.1306299229784912	0.008789907407564582	0.1126851675249833	-0.11134736395833209	-0.07751865512302043	0.04485526211293288	-0.06321781040400135
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	-0.12912259682979782	-0.10709786505588902	-0.09994382977753209	-0.10122521357437894	-0.09738767620278575	-0.10001987943327896	-0.10707287974621746	-0.10839072164135719	-0.1257617596072682	-0.10978095615766334	-0.09649628183721926	-0.09107741601496308	-0.12625073583787877	-0.08993364140682318	-0.11531976166911002	-0.0833767241025074	-0.11054297241086657	-0.09686878554736306
KEGG_ALZHEIMERS_DISEASE	0.24359706008363657	0.23680799849234097	0.20592535998990025	0.23580870304081436	0.22944993312556705	0.24396652690432818	0.21849783868976866	0.22895006917115132	0.21748071389845414	0.2332135432594865	0.2273190227267902	0.22329410033296296	0.20629552189088585	0.26095250474247805	0.21105521175287592	0.24604484303685784	0.23635855530938873	0.22078984097153975
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.12944698994189777	0.1375618042036621	0.1138793129124631	0.11712286320065642	0.13705568213063657	0.13455457697499484	0.11164486721052326	0.09192949399167016	0.10094158894568052	0.12547434084752804	0.12905146830725403	0.1381937262920044	0.12514160830976653	0.12669518819875752	0.1396941453289989	0.11455992203176668	0.13100918931786154	0.08153747752282318
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.08813169497369976	0.09731154804184503	0.11464063687216079	0.1365707837636854	0.13350749324646163	0.14674428417398946	0.08093783199013652	0.12131380406737327	0.09764707889348956	0.08944963580598687	0.1120841685655187	0.03412875003476878	0.07801229082769112	0.11797838886587209	0.11688914626443073	0.12186025763045305	0.07307158444492527	0.097152098083702
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.21578637586269633	0.14104953547272317	0.15364986116125712	0.13506794109816475	0.12388507418085883	0.15003530797541376	0.1404762123053176	0.15358711481757956	0.12451252031747613	0.12771066707908096	0.14594945917061708	0.1721288947013464	0.13288482767823942	0.15059139478914302	0.12541934035330504	0.1492279696290335	0.1543251280104606	0.14135757621156547
